id;pos_documento
11;[[['A', 'produção', 'industrial', 'de', 'calçados', 'projeta', 'um', 'crescimento', 'de', '5', '%', 'para', 'as', 'vendas', 'de', 'fim', 'de', 'ano', '.'], ['DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'SYM', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['projeta'], ['o', 'produção', 'industrial', 'de', 'calçado', 'projetar', 'um', 'crescimento', 'de', '5', '%', 'para', 'o', 'venda', 'de', 'fim', 'de', 'ano', '.']], [['O', 'aumento', 'da', 'eficiência', 'produtiva', 'e', 'o', 'design', 'inovador', 'ajudaram', 'a', 'conquistar', 'novos', 'mercados', 'no', 'exterior', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'VERB', 'SCONJ', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['ajudaram a conquistar'], ['o', 'aumento', 'de o', 'eficiência', 'produtivo', 'e', 'o', 'design', 'inovador', 'ajudar', 'a', 'conquistar', 'novo', 'mercado', 'em o', 'exterior', '.']]]
12;[[['A', 'escassez', 'de', 'mão', 'de', 'obra', 'qualificada', 'em', 'mecatrônica', 'e', 'automação', 'tem', 'preocupado', 'os', 'diretores', 'de', 'indústrias', 'metalúrgicas', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['qualificada', 'tem preocupado'], ['o', 'escassez', 'de', 'mão', 'de', 'obra', 'qualificar', 'em', 'mecatrônica', 'e', 'automação', 'ter', 'preocupado', 'o', 'diretor', 'de', 'indústria', 'metalúrgico', '.']], [['Empresas', 'estão', 'criando', 'programas', 'internos', 'de', 'treinamento', 'para', 'suprir', 'a', 'demanda', '.'], ['NOUN', 'AUX', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'DET', 'NOUN', 'PUNCT'], ['estão criando', 'suprir'], ['empresa', 'estar', 'criar', 'programa', 'interno', 'de', 'treinamento', 'para', 'suprir', 'o', 'demanda', '.']]]
13;[[['O', 'setor', 'de', 'celulose', 'e', 'papel', 'anunciou', 'a', 'expansão', 'de', 'uma', 'de', 'suas', 'maiores', 'plantas', 'industriais', 'na', 'região', 'Centro-Oeste', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PROPN', 'PUNCT'], ['anunciou'], ['o', 'setor', 'de', 'celulose', 'e', 'papel', 'anunciar', 'o', 'expansão', 'de', 'um', 'de', 'seu', 'grande', 'planta', 'industrial', 'em o', 'região', 'Centro-Oeste', '.']], [['O', 'investimento', 'bilionário', 'deve', 'aumentar', 'a', 'capacidade', 'de', 'exportação', 'do', 'país', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['deve aumentar'], ['o', 'investimento', 'bilionário', 'dever', 'aumentar', 'o', 'capacidade', 'de', 'exportação', 'de o', 'país', '.']]]
14;[[['Refinarias', 'nacionais', 'iniciaram', 'testes', 'para', 'a', 'produção', 'em', 'larga', 'escala', 'de', 'biocombustíveis', 'voltados', 'para', 'a', 'aviação', '.'], ['PROPN', 'ADJ', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT'], ['iniciaram', 'voltados'], ['refinaria', 'nacional', 'iniciar', 'teste', 'para', 'o', 'produção', 'em', 'larga', 'escala', 'de', 'biocombustível', 'voltar', 'para', 'o', 'aviação', '.']], [['A', 'transição', 'energética', 'abre', 'um', 'novo', 'nicho', 'de', 'mercado', 'para', 'o', 'parque', 'industrial', 'brasileiro', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'PUNCT'], ['abre'], ['o', 'transição', 'energético', 'abrir', 'um', 'novo', 'nicho', 'de', 'mercado', 'para', 'o', 'parque', 'industrial', 'brasileiro', '.']]]
15;[[['A', 'indústria', 'de', 'alimentos', 'e', 'bebidas', 'registrou', 'alta', 'na', 'produção', 'de', 'itens', 'embalados', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT'], ['registrou', 'embalados'], ['o', 'indústria', 'de', 'alimento', 'e', 'bebida', 'registrar', 'alto', 'em o', 'produção', 'de', 'item', 'embalar', '.']], [['A', 'modernização', 'das', 'linhas', 'de', 'empacotamento', 'automático', 'permitiu', 'acelerar', 'o', 'ritmo', 'de', 'entrega', 'para', 'os', 'supermercados', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT'], ['permitiu acelerar'], ['o', 'modernização', 'de o', 'linha', 'de', 'empacotamento', 'automático', 'permitir', 'acelerar', 'o', 'ritmo', 'de', 'entrega', 'para', 'o', 'supermercado', '.']]]
16;[[['A', 'zona', 'franca', 'de', 'Manaus', 'apresentou', 'um', 'aumento', 'na', 'montagem', 'de', 'eletrodomésticos', 'e', 'componentes', 'eletrônicos', '.'], ['DET', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT'], ['apresentou'], ['o', 'zona', 'franco', 'de', 'Manaus', 'apresentar', 'um', 'aumento', 'em o', 'montagem', 'de', 'eletrodoméstico', 'e', 'componente', 'eletrônico', '.']], [['Isenções', 'tarifárias', 'recentes', 'ajudaram', 'a', 'atrair', 'novos', 'fabricantes', 'internacionais', 'para', 'a', 'região', '.'], ['NOUN', 'ADJ', 'ADJ', 'VERB', 'SCONJ', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT'], ['ajudaram a atrair'], ['Isenções', 'tarifário', 'recente', 'ajudar', 'a', 'atrair', 'novo', 'fabricante', 'internacional', 'para', 'o', 'região', '.']]]
17;[[['O', 'preço', 'do', 'minério', 'de', 'ferro', 'no', 'mercado', 'internacional', 'estabilizou', ',', 'trazendo', 'alívio', 'financeiro', 'para', 'as', 'grandes', 'indústrias', 'extrativistas', 'e', 'siderúrgicas', 'que', 'operam', 'no', 'território', 'nacional', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PRON', 'VERB', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['estabilizou', 'trazendo', 'operam'], ['o', 'preço', 'de o', 'minério', 'de', 'ferro', 'em o', 'mercado', 'internacional', 'estabilizar', ',', 'trazer', 'alívio', 'financeiro', 'para', 'o', 'grande', 'indústria', 'extrativista', 'e', 'siderúrgica', 'que', 'operar', 'em o', 'território', 'nacional', '.']]]
18;[[['Empresas', 'do', 'setor', 'de', 'fundição', 'estão', 'adotando', 'sistemas', 'de', 'inteligência', 'artificial', 'para', 'prever', 'falhas', 'em', 'maquinários', 'e', 'otimizar', 'o', 'uso', 'de', 'energia', 'nos', 'fornos', 'de', 'alta', 'temperatura', '.'], ['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT'], ['estão adotando', 'prever', 'otimizar'], ['Empresas', 'de o', 'setor', 'de', 'fundição', 'estar', 'adotar', 'sistema', 'de', 'inteligência', 'artificial', 'para', 'prever', 'falha', 'em', 'maquinário', 'e', 'otimizar', 'o', 'uso', 'de', 'energia', 'em o', 'forno', 'de', 'alta', 'temperatura', '.']]]
19;[[['A', 'produção', 'de', 'cimento', 'e', 'materiais', 'de', 'construção', 'civil', 'apresentou', 'retração', 'devido', 'à', 'desaceleração', 'de', 'grandes', 'obras', 'de', 'infraestrutura', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADV', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['apresentou'], ['o', 'produção', 'de', 'cimento', 'e', 'material', 'de', 'construção', 'civil', 'apresentar', 'retração', 'devido', 'a o', 'desaceleração', 'de', 'grande', 'obra', 'de', 'infraestrutura', '.']], [['O', 'setor', 'aguarda', 'o', 'lançamento', 'de', 'novos', 'editais', 'públicos', '.'], ['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'PUNCT'], ['aguarda'], ['o', 'setor', 'aguardar', 'o', 'lançamento', 'de', 'novo', 'edital', 'público', '.']]]
20;[[['A', 'indústria', 'farmacêutica', 'nacional', 'expandiu', 'seus', 'laboratórios', 'de', 'biotecnologia', 'para', 'a', 'produção', 'local', 'de', 'insumos', 'farmacêuticos', 'ativos', '.'], ['DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'PUNCT'], ['expandiu'], ['o', 'indústria', 'farmacêutica', 'nacional', 'expandir', 'seu', 'laboratório', 'de', 'biotecnologia', 'para', 'o', 'produção', 'local', 'de', 'insumo', 'farmacêutico', 'ativo', '.']], [['A', 'iniciativa', 'reduz', 'a', 'dependência', 'de', 'importações', 'da', 'Índia', 'e', 'da', 'China', '.'], ['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'ADP', 'PROPN', 'PUNCT'], ['reduz'], ['o', 'iniciativa', 'reduzir', 'o', 'dependência', 'de', 'importação', 'de o', 'Índia', 'e', 'de o', 'China', '.']]]
21;[[['A', 'produção', 'metalmecânica', 'apresentou', 'forte', 'recuperação', 'no', 'Sul', 'do', 'país', ',', 'impulsionada', 'pelas', 'encomendas', 'de', 'estruturas', 'metálicas', 'para', 'usinas', 'de', 'energia', 'eólica', 'e', 'solar', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT'], ['apresentou', 'impulsionada'], ['o', 'produção', 'metalmecânico', 'apresentar', 'forte', 'recuperação', 'em o', 'Sul', 'de o', 'país', ',', 'impulsionar', 'por o', 'encomenda', 'de', 'estrutura', 'metálico', 'para', 'usina', 'de', 'energia', 'eólico', 'e', 'solar', '.']]]
22;[[['Pequenas', 'fábricas', 'de', 'móveis', 'estão', 'se', 'unindo', 'em', 'cooperativas', 'regionais', 'para', 'comprar', 'matéria-prima', 'em', 'larga', 'escala', '.'], ['ADJ', 'NOUN', 'ADP', 'NOUN', 'AUX', 'PRON', 'VERB', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT'], ['unindo', 'comprar'], ['pequena', 'fábrica', 'de', 'móvel', 'estar', 'se', 'unir', 'em', 'cooperativa', 'regional', 'para', 'comprar', 'matéria-prima', 'em', 'larga', 'escala', '.']], [['A', 'estratégia', 'visa', 'reduzir', 'custos', 'e', 'manter', 'a', 'competitividade', 'diante', 'das', 'grandes', 'marcas', '.'], ['DET', 'NOUN', 'VERB', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADV', 'DET', 'ADJ', 'NOUN', 'PUNCT'], ['visa reduzir', 'manter'], ['o', 'estratégia', 'visar', 'reduzir', 'custo', 'e', 'manter', 'o', 'competitividade', 'diante', 'de o', 'grande', 'marca', '.']]]
23;[[['O', 'polo', 'petroquímico', 'da', 'Bahia', 'recebeu', 'investimentos', 'para', 'modernização', 'de', 'suas', 'instalações', 'de', 'segurança', 'e', 'controle', 'ambiental', '.'], ['DET', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'PUNCT'], ['recebeu'], ['o', 'polo', 'petroquímico', 'de o', 'Bahia', 'receber', 'investimento', 'para', 'modernização', 'de', 'seu', 'instalação', 'de', 'segurança', 'e', 'controle', 'ambiental', '.']], [['O', 'objetivo', 'é', 'alinhar', 'a', 'produção', 'local', 'aos', 'padrões', 'globais', 'de', 'sustentabilidade', '.'], ['DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT'], ['alinhar'], ['o', 'objetivo', 'ser', 'alinhar', 'o', 'produção', 'local', 'a o', 'padrão', 'global', 'de', 'sustentabilidade', '.']]]
24;[[['A', 'indústria', 'aeroespacial', 'brasileira', 'firmou', 'um', 'contrato', 'de', 'fornecimento', 'de', 'aeroestruturas', 'para', 'jatos', 'comerciais', 'executivos', 'na', 'Europa', '.'], ['DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT'], ['firmou'], ['o', 'indústria', 'aeroespacial', 'brasileira', 'firmar', 'um', 'contrato', 'de', 'fornecimento', 'de', 'aeroestrutura', 'para', 'jato', 'comercial', 'executivo', 'em o', 'Europa', '.']], [['O', 'acordo', 'consolida', 'a', 'engenharia', 'nacional', 'no', 'cenário', 'global', '.'], ['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['consolida'], ['o', 'acordo', 'consolidar', 'o', 'engenharia', 'nacional', 'em o', 'cenário', 'global', '.']]]
25;[[['Fábricas', 'de', 'embalagens', 'plásticas', 'estão', 'acelerando', 'a', 'transição', 'para', 'polímeros', 'biodegradáveis', 'devido', 'às', 'novas', 'exigências', 'do', 'mercado', 'e', 'regulamentações', 'ambientais', 'mais', 'rígidas', '.'], ['PROPN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADV', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'ADV', 'ADJ', 'PUNCT'], ['estão acelerando'], ['Fábricas', 'de', 'embalagem', 'plástico', 'estar', 'acelerar', 'o', 'transição', 'para', 'polímero', 'biodegradável', 'devido', 'a o', 'novo', 'exigência', 'de o', 'mercado', 'e', 'regulamentação', 'ambiental', 'mais', 'rígido', '.']]]
